Precinct,1,2,3,4,5,Pop
Q,12383,9802,35458,0,0,57643
W,4787,10542,17713,13723,6030,52795
F,4596,7064,12392,6065,3073,33190
O,2354,1287,0,0,0,3641
R,13782,5906,16883,9254,9101,54926
S,14551,14597,0,0,0,29148
G,2925,9974,0,0,0,12899
E,19078,15181,0,0,0,34259
C,8644,4962,4157,6705,16969,41437
M,4070,0,0,0,0,4070
K,5333,0,0,0,0,5333
D,13526,8601,0,0,0,22127
U,19051,10479,24187,14837,0,68554
L,14057,14587,12798,0,0,41442
N,8875,10229,13557,11433,0,44094
J,23948,11861,14212,0,0,50021
B,16014,15626,6739,13902,0,52281